budget,id,original_title,popularity,release_date,revenue,title,vote_average,vote_count,Collection,genres,ProdCompany_1,ProdCompany_2,ProdCompany_3,Character Name,Lead actor,Director,release_year,return
30000000.0,862,Toy Story,21.946943,1995-10-30,373554033.0,Toy Story,7.7,5415.0,Toy Story Collection,"['Animation', 'Comedy', 'Family']",Pixar Animation Studios,,,Woody (voice),Tom Hanks,John Lasseter,1995,12.4518011
65000000.0,8844,Jumanji,17.015539,1995-12-15,262797249.0,Jumanji,6.9,2413.0,,"['Adventure', 'Fantasy', 'Family']",TriStar Pictures,Teitler Film,Interscope Communications,Alan Parrish,Robin Williams,Joe Johnston,1995,4.0430346
16000000.0,31357,Waiting to Exhale,3.859495,1995-12-22,81452156.0,Waiting to Exhale,6.1,34.0,,"['Comedy', 'Drama', 'Romance']",Twentieth Century Fox Film Corporation,,,Savannah 'Vannah' Jackson,Whitney Houston,Forest Whitaker,1995,5.09075975
60000000.0,949,Heat,17.924927,1995-12-15,187436818.0,Heat,7.7,1886.0,,"['Action', 'Crime', 'Drama', 'Thriller']",Regency Enterprises,Forward Pass,Warner Bros.,Lt. Vincent Hanna,Al Pacino,Michael Mann,1995,3.123946966666667
35000000.0,9091,Sudden Death,5.23158,1995-12-22,64350171.0,Sudden Death,5.5,174.0,,"['Action', 'Adventure', 'Thriller']",Universal Pictures,Imperial Entertainment,Signature Entertainment,Darren Francis Thomas McCord,Jean-Claude Van Damme,Peter Hyams,1995,1.8385763142857143
58000000.0,710,GoldenEye,14.686036,1995-11-16,352194034.0,GoldenEye,6.6,1194.0,James Bond Collection,"['Adventure', 'Action', 'Thriller']",United Artists,Eon Productions,,James Bond,Pierce Brosnan,Martin Campbell,1995,6.072310931034483
62000000.0,9087,The American President,6.318445,1995-11-17,107879496.0,The American President,6.5,199.0,,"['Comedy', 'Drama', 'Romance']",Columbia Pictures,Castle Rock Entertainment,,Andrew Shepherd,Michael Douglas,Rob Reiner,1995,1.739991870967742
44000000.0,10858,Nixon,5.092,1995-12-22,13681765.0,Nixon,7.1,72.0,,"['History', 'Drama']",Hollywood Pictures,Cinergi Pictures Entertainment,,Richard Nixon,Anthony Hopkins,Oliver Stone,1995,0.3109492045454545
98000000.0,1408,Cutthroat Island,7.284477,1995-12-22,10017322.0,Cutthroat Island,5.7,137.0,,"['Action', 'Adventure']",Le Studio Canal+,Laurence Mark Productions,Metro-Goldwyn-Mayer (MGM),Morgan Adams,Geena Davis,Renny Harlin,1995,0.1022175714285714
52000000.0,524,Casino,10.137389,1995-11-22,116112375.0,Casino,7.8,1343.0,,"['Drama', 'Crime']",Universal Pictures,Légende Entreprises,Syalis DA,Sam 'Ace' Rothstein,Robert De Niro,Martin Scorsese,1995,2.2329302884615383
