budget,id,original_title,popularity,release_date,revenue,title,vote_average,vote_count,Collection,genres,ProdCompany_1,ProdCompany_2,ProdCompany_3,Character Name,Lead actor,Director,release_year,return,release_day
30000000.0,862,Toy Story,21.946943,1995-10-30,373554033.0,Toy Story,7.7,5415.0,Toy Story Collection,"['Animation', 'Comedy', 'Family']",Pixar Animation Studios,,,Woody (voice),Tom Hanks,John Lasseter,1995,12.4518011,lunes
65000000.0,8844,Jumanji,17.015539,1995-12-15,262797249.0,Jumanji,6.9,2413.0,,"['Adventure', 'Fantasy', 'Family']",TriStar Pictures,Teitler Film,Interscope Communications,Alan Parrish,Robin Williams,Joe Johnston,1995,4.0430346,viernes
0.0,15602,Grumpier Old Men,11.7129,1995-12-22,0.0,Grumpier Old Men,6.5,92.0,Grumpy Old Men Collection,"['Romance', 'Comedy']",Warner Bros.,Lancaster Gate,,Max Goldman,Walter Matthau,Howard Deutch,1995,0.0,viernes
16000000.0,31357,Waiting to Exhale,3.859495,1995-12-22,81452156.0,Waiting to Exhale,6.1,34.0,,"['Comedy', 'Drama', 'Romance']",Twentieth Century Fox Film Corporation,,,Savannah 'Vannah' Jackson,Whitney Houston,Forest Whitaker,1995,5.09075975,viernes
0.0,11862,Father of the Bride Part II,8.387519,1995-02-10,76578911.0,Father of the Bride Part II,5.7,173.0,Father of the Bride Collection,['Comedy'],Sandollar Productions,Touchstone Pictures,,George Banks,Steve Martin,Charles Shyer,1995,0.0,viernes
60000000.0,949,Heat,17.924927,1995-12-15,187436818.0,Heat,7.7,1886.0,,"['Action', 'Crime', 'Drama', 'Thriller']",Regency Enterprises,Forward Pass,Warner Bros.,Lt. Vincent Hanna,Al Pacino,Michael Mann,1995,3.123946966666667,viernes
58000000.0,11860,Sabrina,6.677277,1995-12-15,0.0,Sabrina,6.2,141.0,,"['Comedy', 'Romance']",Paramount Pictures,Scott Rudin Productions,Mirage Enterprises,Linus Larrabee,Harrison Ford,Sydney Pollack,1995,0.0,viernes
0.0,45325,Tom and Huck,2.561161,1995-12-22,0.0,Tom and Huck,5.4,45.0,,"['Action', 'Adventure', 'Drama', 'Family']",Walt Disney Pictures,,,Tom Sawyer,Jonathan Taylor Thomas,Peter Hewitt,1995,0.0,viernes
35000000.0,9091,Sudden Death,5.23158,1995-12-22,64350171.0,Sudden Death,5.5,174.0,,"['Action', 'Adventure', 'Thriller']",Universal Pictures,Imperial Entertainment,Signature Entertainment,Darren Francis Thomas McCord,Jean-Claude Van Damme,Peter Hyams,1995,1.8385763142857143,viernes
58000000.0,710,GoldenEye,14.686036,1995-11-16,352194034.0,GoldenEye,6.6,1194.0,James Bond Collection,"['Adventure', 'Action', 'Thriller']",United Artists,Eon Productions,,James Bond,Pierce Brosnan,Martin Campbell,1995,6.072310931034483,jueves
62000000.0,9087,The American President,6.318445,1995-11-17,107879496.0,The American President,6.5,199.0,,"['Comedy', 'Drama', 'Romance']",Columbia Pictures,Castle Rock Entertainment,,Andrew Shepherd,Michael Douglas,Rob Reiner,1995,1.739991870967742,viernes
0.0,12110,Dracula: Dead and Loving It,5.430331,1995-12-22,0.0,Dracula: Dead and Loving It,5.7,210.0,,"['Comedy', 'Horror']",Columbia Pictures,Castle Rock Entertainment,Enigma Pictures,Count Dracula,Leslie Nielsen,Mel Brooks,1995,0.0,viernes
